"","code","day","p.young","p.old","weekdays"
"497",17,2018-04-17,7934.47946709299,11619.4804844534,"화"
"498",17,2018-04-18,7890.09259214097,11426.8802524611,"수"
"499",17,2018-04-19,7862.62355521628,11628.7090715927,"목"
"500",17,2018-04-20,7836.33485838188,11813.4869425184,"금"
"501",17,2018-04-21,7785.55706115912,11737.8757176402,"토"
"502",17,2018-04-22,7946.03507943524,12098.6845716222,"일"
"503",17,2018-04-23,8132.64826689357,11944.7266019116,"월"
"504",17,2018-04-24,8264.68184286253,11845.7824097658,"화"
"505",17,2018-04-25,8187.93263726822,11989.3591114985,"수"
"506",17,2018-04-26,8142.3676335943,11874.2592668083,"목"
"507",17,2018-04-27,8099.66879977049,11667.8895744213,"금"
"508",17,2018-04-28,8081.59669969721,12036.0302346272,"토"
"509",17,2018-04-29,8182.69704966395,12257.7720979526,"일"
"510",17,2018-04-30,8259.39344854094,11853.4897150091,"월"
"511",18,2018-04-01,1188.45735999222,2009.12769098682,"일"
"512",18,2018-04-02,1289.78112729724,2079.8157635626,"월"
"513",18,2018-04-03,1289.89453993605,2154.88361301964,"화"
"514",18,2018-04-04,1286.84018313271,2159.82159552164,"수"
"515",18,2018-04-05,1220.07943604064,2028.8003712321,"목"
"516",18,2018-04-06,1112.77768032025,2036.57167021252,"금"
"517",18,2018-04-07,1199.42678870276,1914.74442307877,"토"
"518",18,2018-04-08,1211.12348467003,1969.73899449581,"일"
"519",18,2018-04-09,1353.55545795115,2004.61455233118,"월"
"520",18,2018-04-10,1355.34030639656,2117.9859139359,"화"
"521",18,2018-04-11,1384.69949685252,2027.09623174063,"수"
"522",18,2018-04-12,1307.13013917094,2015.2333449389,"목"
"523",18,2018-04-13,1234.00114090994,2033.11254293331,"금"
"524",18,2018-04-14,1152.13014420636,2074.66778942293,"토"
"525",18,2018-04-15,1273.31381466898,1999.9582968579,"일"
"526",18,2018-04-16,1279.88737883083,2036.7633501405,"월"
"527",18,2018-04-17,1243.15586964576,2084.80589847951,"화"
"528",18,2018-04-18,1202.13990035899,2033.59279887689,"수"
"529",18,2018-04-19,1188.59506337998,1995.71145735723,"목"
"530",18,2018-04-20,1171.18720602276,1915.42055225505,"금"
"531",18,2018-04-21,1183.52621298173,2006.02819203974,"토"
"532",18,2018-04-22,1255.27877688864,2043.47863480577,"일"
"533",18,2018-04-23,1274.30650744164,2088.94318805856,"월"
"534",18,2018-04-24,1346.69108265984,2491.43821754974,"화"
"535",18,2018-04-25,1316.79746030327,2189.29243698788,"수"
"536",18,2018-04-26,1348.51060425213,2089.16950508676,"목"
"537",18,2018-04-27,1258.60311354066,1971.09076080109,"금"
"538",18,2018-04-28,1288.34429309826,1979.35445063957,"토"
"539",18,2018-04-29,1328.5829273711,1978.41461226703,"일"
"540",18,2018-04-30,1376.47041606251,1982.98414024295,"월"
"541",19,2018-04-01,76956.3209917312,50825.3809662597,"일"
"542",19,2018-04-02,70881.1328504106,51199.9784059129,"월"
"543",19,2018-04-03,82218.9523135933,50359.2078925299,"화"
"544",19,2018-04-04,89179.5297889002,50127.4367699536,"수"
"545",19,2018-04-05,90314.4846944096,49849.3582747902,"목"
"546",19,2018-04-06,93555.0069185884,50372.8640615499,"금"
"547",19,2018-04-07,89977.2673513105,50614.5315398863,"토"
"548",19,2018-04-08,81003.1817830195,54524.8895335034,"일"
"549",19,2018-04-09,74499.6239626636,53750.6605064305,"월"
"550",19,2018-04-10,85209.3991768687,52185.2676833602,"화"
